Alabama,AL,4802740,Montgomery
Alaska,AK,722718,Juneau
Arizona,AZ,6482505,Phoenix
Arkansas,AR,2937979,Little Rock
California,CA,37691912,Sacramento
Colorado,CO,5116796,Denver
Connecticut,CT,3580709,Hartford
Delaware,DE,907135,Dover
Florida,FL,19057542,Tallahassee
Georgia,GA,9815210,Atlanta
Hawaii,HI,1374810,Honolulu
Idaho,ID,1584985,Boise
Illinois,IL,12869257,Springfield
Indiana,IN,6516922,Indianapolis
Iowa,IA,3062309,Des Moines
Kansas,KS,2871238,Topeka
Kentucky[6],KY,4369356,Frankfort
Louisiana,LA,4574836,Baton Rouge
Maine,ME,1328188,Augusta
Maryland,MD,5828289,Annapolis
Massachusetts[6],MA,6587536,Boston
Michigan,MI,9876187,Lansing
Minnesota,MN,5344861,Saint Paul
Mississippi,MS,2978512,Jackson
Missouri,MO,6010688,Jefferson City
Montana,MT,998199,Helena
Nebraska,NE,1842641,Lincoln
Nevada,NV,2723322,Carson City
New Hampshire,NH,1318194,Concord
New Jersey,NJ,8821155,Trenton
New Mexico,NM,New Mexico Territory,75000
New York,NY,19465197,Albany
North Carolina,NC,9656401,Raleigh
North Dakota,ND,683932,Bismarck
Ohio,OH,11544951,Columbus
Oklahoma,OK,3791508,Oklahoma City
Oregon,OR,3871859,Salem
Pennsylvania[6],PA,12742886,Harrisburg
Rhode Island[13],RI,1051302,Providence
South Carolina,SC,4679230,Columbia
South Dakota,SD,824082,Pierre
Tennessee,TN,6403353,Nashville
Texas,TX,25674681,Austin
Utah,UT,2817222,Salt Lake City
Vermont,VT,626431,Montpelier
Virginia[6],VA,8096604,Richmond
Washington,WA,6830038,Olympia
West Virginia,WV,1855364,Charleston
Wisconsin,WI,5711767,Madison
Wyoming,WY,568158,Cheyenne